recording_id,dataset,subject,status,error,n_channels,sfreq,n_samples,aperiodic_frontal,aperiodic_posterior,aperiodic_wholehead,n_frontal,n_posterior
sub-10@loc+60,ds004541,sub-10,ok,,62,1000,30000,2.090632527,1.8807329,2.161882068,14,17
sub-10@loc+120,ds004541,sub-10,ok,,62,1000,30000,2.234206907,1.969572595,2.266661039,14,17
sub-10@loc+180,ds004541,sub-10,ok,,62,1000,30000,2.261279515,2.061923797,2.406962268,14,17
sub-10@loc+240,ds004541,sub-10,ok,,62,1000,30000,2.29363598,2.136925419,2.3857818,14,17
sub-10@loc+300,ds004541,sub-10,ok,,62,1000,30000,2.326805542,2.104301463,2.371385737,14,17
sub-10@roc-60,ds004541,sub-10,ok,,62,1000,30000,2.178130937,2.45438938,2.761871015,14,17
sub-10@roc+60,ds004541,sub-10,ok,,62,1000,30000,2.260035396,2.143590725,2.532380375,14,17
sub-11@start-180,ds004541,sub-11,ok,,62,1000,30000,1.032539264,1.487552901,1.973396641,14,17
sub-11@start-120,ds004541,sub-11,ok,,62,1000,30000,0.9095444012,1.276222411,1.808407274,14,17
sub-11@start-60,ds004541,sub-11,ok,,62,1000,30000,0.8611841042,1.292338084,1.372827467,14,17
